| Kernel Combination                                                         |   Initialization Number |   Training Loss |
| periodic + periodic + periodic + periodic + RQ + SE * SE                   |                       1 |         6.95126 |
| periodic + periodic + periodic + periodic + RQ * SE + SE                   |                       1 |         5.46721 |
| periodic + periodic + periodic + periodic + RQ * SE * SE                   |                       1 |         5.92369 |
| periodic + periodic + periodic + periodic * RQ + SE + SE                   |                       1 |         4.75591 |
| periodic + periodic + periodic + periodic * RQ + SE * SE                   |                       1 |         5.20081 |
| periodic + periodic + periodic + periodic * RQ * SE + SE                   |                       1 |         5.07151 |
| periodic + periodic + periodic + periodic * RQ * SE * SE                   |                       1 |         5.83808 |
| periodic + periodic + periodic * periodic + RQ + SE + SE                   |                       1 |         4.64796 |
| periodic + periodic + periodic * periodic + RQ + SE * SE                   |                       1 |         5.0443  |
| periodic + periodic + periodic * periodic + RQ * SE + SE                   |                       1 |         5.02469 |
| periodic + periodic + periodic * periodic + RQ * SE * SE                   |                       1 |         5.74579 |
| periodic + periodic + periodic * periodic * RQ + SE + SE                   |                       1 |         5.04602 |
| periodic + periodic + periodic * periodic * RQ + SE * SE                   |                       1 |         5.72779 |
| periodic + periodic + periodic * periodic * RQ * SE + SE                   |                       1 |         5.71161 |
| periodic + periodic + periodic * periodic * RQ * SE * SE                   |                       1 |         6.89433 |
| periodic + periodic * periodic + periodic * RQ + SE + SE                   |                       1 |         5.02536 |
| periodic + periodic * periodic + periodic * RQ + SE * SE                   |                       1 |         5.71466 |
| periodic + periodic * periodic + periodic * RQ * SE + SE                   |                       1 |         5.70436 |
| periodic + periodic * periodic + periodic * RQ * SE * SE                   |                       1 |         6.87545 |
| periodic + periodic * periodic * periodic + RQ + SE + SE                   |                       1 |         5.12277 |
| periodic + periodic * periodic * periodic + RQ + SE * SE                   |                       1 |         5.7147  |
| periodic + periodic * periodic * periodic + RQ * SE + SE                   |                       1 |         5.70283 |
| periodic + periodic * periodic * periodic + RQ * SE * SE                   |                       1 |         6.88151 |
| periodic + periodic * periodic * periodic * RQ + SE + SE                   |                       1 |         5.70871 |
| periodic + periodic * periodic * periodic * RQ + SE * SE                   |                       1 |         6.87439 |
| periodic + periodic * periodic * periodic * RQ * SE + SE                   |                       1 |         6.85375 |
| periodic + periodic * periodic * periodic * RQ * SE * SE                   |                       1 |         9.20239 |
| periodic * periodic + periodic * periodic + RQ + SE + SE                   |                       1 |         5.11766 |
| periodic * periodic + periodic * periodic + RQ + SE * SE                   |                       1 |         5.70915 |
| periodic * periodic + periodic * periodic + RQ * SE + SE                   |                       1 |         5.69741 |
| periodic * periodic + periodic * periodic + RQ * SE * SE                   |                       1 |         6.87378 |
| periodic * periodic + periodic * periodic * RQ + SE + SE                   |                       1 |         5.70367 |
| periodic * periodic + periodic * periodic * RQ + SE * SE                   |                       1 |         6.86708 |
| periodic * periodic + periodic * periodic * RQ * SE + SE                   |                       1 |         6.84666 |
| periodic * periodic + periodic * periodic * RQ * SE * SE                   |                       1 |         9.18853 |
| periodic * periodic * periodic + periodic * RQ + SE + SE                   |                       1 |         5.71505 |
| periodic * periodic * periodic + periodic * RQ + SE * SE                   |                       1 |         6.86106 |
| periodic * periodic * periodic + periodic * RQ * SE + SE                   |                       1 |         6.84306 |
| periodic * periodic * periodic + periodic * RQ * SE * SE                   |                       1 |         9.17923 |
| periodic * periodic * periodic * periodic + RQ + SE + SE                   |                       1 |         5.78101 |
| periodic * periodic * periodic * periodic + RQ + SE * SE                   |                       1 |         6.86248 |
| periodic * periodic * periodic * periodic + RQ * SE + SE                   |                       1 |         6.84262 |
| periodic * periodic * periodic * periodic + RQ * SE * SE                   |                       1 |         9.18307 |
| periodic * periodic * periodic * periodic * RQ + SE + SE                   |                       1 |         6.84949 |
